#sceneRasterWidth=160
featureId	CHL:float
0	3.7108724
1	3.4684725
2	3.4767275
3	3.4968836
4	3.4229107
5	3.1472156
6	3.1026886
7	3.0354218
8	2.957749
9	2.862077
10	2.757472
11	2.7521987
12	2.767954
13	2.8119903
14	2.8155677
15	2.7516932
16	2.7397096
17	2.7323604
18	2.7007349
19	2.656354
20	2.6299632
21	2.427633
22	2.2946842
23	2.2620842
24	2.1336358
25	2.0899165
26	2.0826943
27	2.0061336
28	1.9184538
29	1.793147
30	1.7709222
31	1.7603518
32	1.7380811
33	1.7274125
34	1.673641
35	1.6944672
36	1.6939764
37	1.682703
38	1.6184212
39	1.5950042
40	1.5876304
41	1.5311424
42	1.5188373
43	1.5028608
44	1.4969542
45	1.4856156
46	1.4282444
47	1.4046723
48	1.4016647
49	1.4157821
50	1.41249
51	1.4253547
52	1.4628766
53	1.4673544
54	1.4665054
55	1.4878324
56	1.5628477
57	1.5850106
58	1.7022285
59	1.7564747
60	1.7524883
61	1.8776289
62	1.9901478
63	2.0134814
64	2.1884391
65	2.237993
66	2.3271198
67	2.4785132
68	2.542582
69	2.7424362
70	2.7966707
71	2.9361284
72	3.042106
73	3.099264
74	3.530524
75	3.5696304
76	3.744891
77	3.8485525
78	4.040812
79	4.2552924
80	4.328268
81	4.4334664
82	4.449107
83	4.565249
84	4.531734
85	4.591668
86	4.664369
87	4.6930428
88	4.6709504
89	4.8533363
90	4.8280516
91	4.802638
92	4.684672
93	4.7767797
94	4.729561
95	4.621679
96	4.5626416
97	4.5122614
98	4.489137
99	4.5200047
100	4.486184
101	4.378936
102	4.3379197
103	4.285505
104	4.2823076
105	4.3181896
106	4.169733
107	4.1012163
108	4.103245
109	3.936465
110	3.973597
111	3.826282
112	3.837431
113	3.7508805
114	3.7008631
115	3.508961
116	3.3509145
117	3.3696966
118	3.3578544
119	3.3075333
120	3.359311
121	3.3184025
122	3.3499224
123	3.2447264
124	3.0847561
125	3.0240278
126	3.018981
127	3.0355668
128	3.0675683
129	2.9872117
130	2.928606
131	2.9757798
132	2.8696268
133	2.8638391
134	2.8410625
135	2.897375
136	3.025748
137	3.0382261
138	3.017945
139	3.0610514
140	3.0805407
141	3.0986798
142	3.0910249
143	3.2306752
144	3.1996198
145	3.1809688
146	3.1015534
147	3.158803
148	3.3893678
149	3.4097016
150	3.545761
151	3.5445175
152	3.4420562
153	3.5427666
154	3.5113773
155	3.6242955
156	3.6153018
157	3.7161827
158	3.6708994
159	3.7189965
160	3.457222
161	3.3212209
162	3.413188
163	3.402063
164	3.4515867
165	3.281645
166	2.8921325
167	2.9519029
168	2.849132
169	2.8529837
170	2.8731606
171	2.7315474
172	2.740475
173	2.8424609
174	2.8098218
175	2.828674
176	2.726256
177	2.635493
178	2.5816317
179	2.584674
180	2.4948716
181	2.2844021
182	2.2718964
183	2.1898603
184	2.1834009
185	2.1167004
186	1.9872046
187	1.9725562
188	1.8940921
189	1.8646692
190	1.8486634
191	1.8247232
192	1.808556
193	1.7323242
194	1.7524719
195	1.743315
196	1.6628947
197	1.6509027
198	1.5804117
199	1.565091
200	1.5248096
201	1.5361086
202	1.5198089
203	1.4937558
204	1.4763303
205	1.4330748
206	1.3897673
207	1.3796794
208	1.3805672
209	1.3754725
210	1.378158
211	1.421952
212	1.439655
213	1.4776717
214	1.5559156
215	1.5865766
216	1.5811238
217	1.6700525
218	1.6919292
219	1.708497
220	1.796922
221	1.8151349
222	1.9475777
223	2.076469
224	2.0877545
225	2.1787124
226	2.4033732
227	2.4710336
228	2.6515398
229	2.7000055
230	2.8845809
231	3.0664089
232	3.1136978
233	3.3424537
234	3.498735
235	3.660872
236	3.7294114
237	3.8883467
238	4.091787
239	4.1413727
240	4.369557
241	4.402323
242	4.475989
243	4.470405
244	4.4742346
245	4.5773735
246	4.594281
247	4.685633
248	4.7356143
249	4.7885475
250	4.7028375
251	4.620947
252	4.6218085
253	4.806851
254	4.721428
255	4.692989
256	4.6623187
257	4.5586247
258	4.5563855
259	4.540021
260	4.425429
261	4.385806
262	4.270761
263	4.216318
264	4.206645
265	4.1604986
266	4.1216702
267	4.0841675
268	3.9815876
269	3.9223228
270	3.7228165
271	3.6254022
272	3.5877328
273	3.5875301
274	3.5621896
275	3.4384258
276	3.4062164
277	3.2714772
278	3.2372508
279	3.2282884
280	3.1493926
281	3.1309557
282	3.0286982
283	2.96989
284	2.921948
285	2.8968182
286	2.8278039
287	2.910889
288	2.9687326
289	2.8798718
290	2.8887377
291	2.901152
292	2.8783329
293	2.8605494
294	2.8636312
295	2.874351
296	2.8805199
297	2.9293897
298	2.968888
299	3.0000527
300	3.0405629
301	3.029246
302	3.100493
303	3.062137
304	3.074405
305	3.0816977
306	3.1066282
307	3.1209922
308	3.358436
309	3.4071772
310	3.397125
311	3.309021
312	3.5165267
313	3.5354419
314	3.5438523
315	3.4784036
316	3.5118246
317	3.5558674
318	3.5542274
319	3.6747825
320	3.208695
321	3.5686715
322	3.4869573
323	3.4353812
324	3.2494688
325	3.141982
326	3.095533
327	3.010088
328	2.9801846
329	2.7329836
330	2.7676182
331	2.797113
332	2.7768257
333	2.7572486
334	2.6991122
335	2.6737049
336	2.653857
337	2.6283555
338	2.6066527
339	2.5322618
340	2.4703734
341	2.342984
342	2.2291515
343	2.1980822
344	2.094714
345	2.0444696
346	2.0086472
347	1.9164863
348	1.8985943
349	1.8170297
350	1.7813634
351	1.79479
352	1.8010185
353	1.7799374
354	1.7529478
355	1.6942502
356	1.679104
357	1.6691781
358	1.6036913
359	1.5499576
360	1.552477
361	1.5364348
362	1.5026382
363	1.4893155
364	1.480091
365	1.4521704
366	1.4388931
367	1.4023659
368	1.3735704
369	1.3880198
370	1.420216
371	1.4381597
372	1.4768313
373	1.4869995
374	1.5398664
375	1.5925741
376	1.6225401
377	1.6959208
378	1.7119774
379	1.7207465
380	1.7633888
381	1.8617965
382	1.9889371
383	2.0091069
384	2.1015174
385	2.1164675
386	2.2835896
387	2.503449
388	2.558513
389	2.7844598
390	2.9316783
391	2.9443145
392	3.1523993
393	3.2109053
394	3.5137944
395	3.5797522
396	3.7677991
397	3.8421395
398	4.0675035
399	4.1382165
400	4.1714163
401	4.3421984
402	4.3974752
403	4.406465
404	4.527681
405	4.5499096
406	4.5761647
407	4.6342087
408	4.683429
409	4.661984
410	4.651724
411	4.5644207
412	4.73268
413	4.822588
414	4.7333584
415	4.7021704
416	4.555125
417	4.554882
418	4.408705
419	4.398296
420	4.351409
421	4.295737
422	4.334466
423	4.139741
424	4.114953
425	4.122616
426	4.009412
427	3.8788354
428	3.9016318
429	3.8218422
430	3.8052428
431	3.5157068
432	3.50829
433	3.4849262
434	3.4421885
435	3.4433103
436	3.36632
437	3.3469195
438	3.273205
439	3.1162527
440	3.073106
441	2.9469912
442	2.912016
443	2.8881137
444	2.8341956
445	2.7842388
446	2.7746246
447	2.8000631
448	2.88087
449	2.824863
450	2.771905
451	2.7629185
452	2.7402422
453	2.8173423
454	2.8095646
455	2.7851238
456	2.8296666
457	2.770688
458	2.8441799
459	2.8714628
460	2.816335
461	2.9400198
462	2.9197736
463	2.9244823
464	3.130017
465	3.1407037
466	3.1133103
467	3.1325264
468	3.2334256
469	3.2584844
470	3.191258
471	3.2299411
472	3.3681252
473	3.3696797
474	3.3668602
475	3.4456418
476	3.5064979
477	3.5789397
478	3.657658
479	3.7709289
480	3.2507217
481	3.1901765
482	3.1979344
483	3.3295078
484	3.3282123
485	3.261493
486	3.1554432
487	3.1960514
488	2.9882765
489	2.8351548
490	2.8157845
491	2.7276406
492	2.7603307
493	2.7571797
494	2.7456024
495	2.7016966
496	2.6181438
497	2.5982516
498	2.573095
499	2.523136
500	2.4070833
501	2.2533293
502	2.2173524
503	2.0877328
504	2.0537035
505	1.9977226
506	1.9197171
507	1.8955444
508	1.8040243
509	1.7949401
510	1.8011858
511	1.7980796
512	1.7715783
513	1.7396232
514	1.7145413
515	1.7014058
516	1.6263821
517	1.6156496
518	1.5732769
519	1.5790833
520	1.5635871
521	1.5378418
522	1.5231397
523	1.4894769
524	1.4703928
525	1.4572273
526	1.402671
527	1.4071183
528	1.4208823
529	1.4094887
530	1.4133977
531	1.4402553
532	1.4683043
533	1.5096523
534	1.584677
535	1.6094686
536	1.6632826
537	1.6765406
538	1.7503961
539	1.7561036
540	1.8116616
541	1.8972213
542	1.9507943
543	2.0872927
544	2.123323
545	2.1935754
546	2.378247
547	2.404058
548	2.5603132
549	2.6347857
550	2.870505
551	3.053935
552	3.084322
553	3.2564242
554	3.3647633
555	3.510832
556	3.5790632
557	3.756275
558	3.9733622
559	4.05061
560	4.193218
561	4.2805467
562	4.323933
563	4.3857355
564	4.3965845
565	4.4779305
566	4.607316
567	4.6230574
568	4.639142
569	4.601563
570	4.5421395
571	4.5483027
572	4.5593567
573	4.6385865
574	4.5900855
575	4.5584235
576	4.5733213
577	4.3966327
578	4.2655396
579	4.2024393
580	4.203909
581	4.1799874
582	4.0563607
583	3.9475992
584	3.8991768
585	3.8074195
586	3.7809181
587	3.773937
588	3.7389925
589	3.750862
590	3.6451898
591	3.5351315
592	3.4070144
593	3.385457
594	3.3287344
595	3.2915566
596	3.2935588
597	3.263755
598	3.2650335
599	3.1707861
600	2.9740784
601	2.9904108
602	2.9177701
603	2.925326
604	2.9074376
605	2.8100026
606	2.7333267
607	2.7478602
608	2.7371864
609	2.7417126
610	2.7591765
611	2.7457085
612	2.7037978
613	2.71736
614	2.6747289
615	2.718318
616	2.7259383
617	2.8023622
618	2.8052506
619	2.7157269
620	2.7308269
621	2.7366848
622	2.7437549
623	2.806335
624	2.9051023
625	2.9247732
626	2.967843
627	3.1276214
628	3.2901323
629	3.4228106
630	3.4486024
631	3.5191703
632	3.683989
633	3.6837687
634	3.6438482
635	3.6309035
636	3.7849061
637	3.7948112
638	3.783814
639	3.8631108
640	3.261136
641	3.151233
642	2.9682097
643	3.0107033
644	3.1846979
645	3.1944299
646	3.1949
647	3.1602256
648	3.026806
649	2.925473
650	2.7800257
651	2.7267308
652	2.686994
653	2.672562
654	2.6169214
655	2.5565631
656	2.5103917
657	2.5636227
658	2.4896338
659	2.4925659
660	2.1886868
661	2.175658
662	2.0348241
663	2.017925
664	1.9188637
665	1.9379302
666	1.9245944
667	1.888516
668	1.9049007
669	1.8759305
670	1.8247286
671	1.8164696
672	1.8051109
673	1.7241423
674	1.7126343
675	1.6646138
676	1.6496682
677	1.6254019
678	1.5609388
679	1.5707655
680	1.5591476
681	1.5296532
682	1.5099787
683	1.4939171
684	1.4589258
685	1.4334583
686	1.4265218
687	1.422372
688	1.4346758
689	1.4522496
690	1.471972
691	1.4849695
692	1.5099438
693	1.553852
694	1.5745969
695	1.6151237
696	1.6111131
697	1.6755712
698	1.6915478
699	1.719336
700	1.7533132
701	1.872466
702	2.0193422
703	2.0353417
704	2.1858501
705	2.2598372
706	2.331632
707	2.4963484
708	2.5108223
709	2.717891
710	2.9286716
711	2.985198
712	3.1559393
713	3.2344108
714	3.3299506
715	3.3921342
716	3.626747
717	3.7919009
718	3.7866478
719	3.8945496
720	3.9589896
721	4.1753764
722	4.234891
723	4.2730994
724	4.3232737
725	4.381133
726	4.390525
727	4.5331573
728	4.579547
729	4.4337406
730	4.378282
731	4.3848567
732	4.5204864
733	4.470602
734	4.371124
735	4.3115873
736	4.244301
737	4.2046914
738	4.117424
739	4.012404
740	3.9928615
741	3.8244596
742	3.689273
743	3.7040193
744	3.7343688
745	3.6243436
746	3.6279907
747	3.487773
748	3.4683197
749	3.4633307
750	3.457908
751	3.330144
752	3.3226423
753	3.3405588
754	3.234232
755	3.2402833
756	3.2910833
757	3.2808657
758	3.2037914
759	3.1287963
760	3.0737116
761	2.9853382
762	2.9414685
763	2.94332
764	2.837767
765	2.7935975
766	2.7013073
767	2.572044
768	2.6078684
769	2.562651
770	2.590681
771	2.5848143
772	2.5922391
773	2.6013033
774	2.6098561
775	2.5965261
776	2.6394436
777	2.6158595
778	2.680366
779	2.6053948
780	2.5734406
781	2.6308367
782	2.6483848
783	2.8944216
784	2.990435
785	3.030747
786	3.1096554
787	3.2212858
788	3.3963675
789	3.476692
790	3.4639006
791	3.6293752
792	3.658861
793	3.6691685
794	3.730869
795	3.8314114
796	3.9073381
797	3.9667268
798	3.9861233
799	4.2107105
800	3.1127043
801	3.0829327
802	3.1235912
803	3.1387897
804	3.1395998
805	3.2797937
806	3.1705344
807	3.05317
808	3.1263762
809	2.9505503
810	2.9644663
811	2.822092
812	2.6793363
813	2.6844401
814	2.5921721
815	2.5866978
816	2.5764527
817	2.4180112
818	2.3906803
819	2.2705126
820	2.2022834
821	2.1208487
822	2.1004946
823	2.0244176
824	1.9088887
825	1.8735105
826	1.8748904
827	1.8951722
828	1.8365706
829	1.8014617
830	1.797286
831	1.806148
832	1.767438
833	1.7310885
834	1.6498547
835	1.6448909
836	1.6598176
837	1.6253755
838	1.5931852
839	1.579865
840	1.5616124
841	1.512655
842	1.5072552
843	1.484142
844	1.4623617
845	1.4361627
846	1.4370638
847	1.4308137
848	1.4728405
849	1.4975983
850	1.510072
851	1.5467407
852	1.5326941
853	1.5405381
854	1.5614547
855	1.5696384
856	1.6123313
857	1.6246045
858	1.6827687
859	1.701724
860	1.8527894
861	1.9619774
862	1.9876174
863	2.1136756
864	2.1448345
865	2.328149
866	2.4416924
867	2.4604638
868	2.6149974
869	2.8108404
870	2.8634725
871	3.1021557
872	3.1427176
873	3.266156
874	3.3397994
875	3.4633486
876	3.4466386
877	3.8416967
878	3.9067976
879	3.9091842
880	3.9812758
881	4.0495768
882	4.0689373
883	4.1417003
884	4.1570115
885	4.3417563
886	4.407684
887	4.4004664
888	4.3007193
889	4.2437906
890	4.233354
891	4.2739353
892	4.2892523
893	4.223875
894	4.2273364
895	4.2646503
896	4.20122
897	3.9574199
898	3.8054104
899	3.7401607
900	3.6511118
901	3.6620903
902	3.5098782
903	3.5332687
904	3.4945228
905	3.4819365
906	3.4383984
907	3.4984753
908	3.358619
909	3.354465
910	3.3041024
911	3.21578
912	3.2581792
913	3.2730296
914	3.2972376
915	3.3276887
916	3.3656914
917	3.2058778
918	3.1389625
919	3.120059
920	3.054531
921	2.9866354
922	2.849561
923	2.7794821
924	2.7753055
925	2.707648
926	2.7089546
927	2.6260452
928	2.5179105
929	2.4825516
930	2.5339618
931	2.5544887
932	2.5725513
933	2.5734403
934	2.6068528
935	2.6328027
936	2.6322126
937	2.6219351
938	2.6639616
939	2.664759
940	2.6983678
941	2.7245095
942	2.7335389
943	2.8404248
944	2.8876798
945	3.048112
946	3.1368792
947	3.2259407
948	3.3679771
949	3.3267925
950	3.4889941
951	3.5226684
952	3.560978
953	3.5574722
954	3.6999662
955	3.8670297
956	3.8928285
957	3.9592223
958	3.979011
959	4.1837354
960	3.0753243
961	3.2009392
962	3.2661397
963	3.151741
964	3.1316621
965	3.1045644
966	3.0482333
967	3.109981
968	3.1375134
969	3.091181
970	2.8741271
971	2.8860016
972	2.751557
973	2.6405292
974	2.6170416
975	2.5005143
976	2.4084952
977	2.3839312
978	2.308226
979	2.2422123
980	2.133139
981	2.1057374
982	1.9313661
983	1.8826982
984	1.9151846
985	1.8297588
986	1.7834793
987	1.7147746
988	1.7054534
989	1.6696117
990	1.6950685
991	1.7157267
992	1.6857879
993	1.6609614
994	1.65617
995	1.6466376
996	1.6110979
997	1.598745
998	1.6050652
999	1.5064911
1000	1.4796416
1001	1.4744537
1002	1.4740988
1003	1.4639177
1004	1.4252952
1005	1.4044924
1006	1.4114858
1007	1.4482929
1008	1.4980806
1009	1.4952027
1010	1.5289818
1011	1.5305833
1012	1.5300294
1013	1.5709414
1014	1.5847858
1015	1.6404381
1016	1.6608717
1017	1.7517493
1018	1.795324
1019	1.8670386
1020	1.9370633
1021	1.9683065
1022	2.047464
1023	2.0545824
1024	2.198719
1025	2.3902767
1026	2.4258046
1027	2.5876443
1028	2.6343935
1029	2.7353973
1030	2.9539928
1031	3.0069678
1032	3.1327007
1033	3.3276308
1034	3.406371
1035	3.422938
1036	3.5536354
1037	3.7978952
1038	3.7863023
1039	3.83835
1040	3.9288018
1041	3.8538628
1042	3.8751805
1043	3.8535078
1044	3.9646802
1045	4.031922
1046	4.001099
1047	3.8548086
1048	3.8045104
1049	3.8902297
1050	3.9428535
1051	3.9761393
1052	4.0361505
1053	3.9661958
1054	3.8620927
1055	3.8530314
1056	3.6424124
1057	3.5703175
1058	3.5178812
1059	3.4115138
1060	3.328385
1061	3.3500128
1062	3.2923467
1063	3.2948272
1064	3.245577
1065	3.2363062
1066	3.182502
1067	3.1627438
1068	3.1716256
1069	3.179429
1070	3.2503583
1071	3.1492863
1072	3.1647892
1073	3.2526684
1074	3.2591946
1075	3.2495258
1076	3.272143
1077	3.1791937
1078	3.1476147
1079	3.0588353
1080	3.033973
1081	2.9128067
1082	2.8685632
1083	2.8359618
1084	2.7451487
1085	2.7278628
1086	2.668119
1087	2.6136196
1088	2.6395042
1089	2.5280669
1090	2.5235863
1091	2.5242097
1092	2.5239305
1093	2.533252
1094	2.5349236
1095	2.5490015
1096	2.5141838
1097	2.5366695
1098	2.5525615
1099	2.578085
1100	2.668819
1101	2.7687128
1102	2.9178305
1103	2.9008565
1104	3.0126245
1105	3.0525806
1106	3.0722282
1107	3.2899382
1108	3.338573
1109	3.3467448
1110	3.3989508
1111	3.4286902
1112	3.5385225
1113	3.606956
1114	3.7721026
1115	3.7953615
1116	3.9773676
1117	3.9463654
1118	3.9989374
1119	4.2982855
1120	3.1930966
1121	3.093525
1122	3.0995991
1123	3.231381
1124	3.2636886
1125	3.168295
1126	3.063585
1127	2.964723
1128	3.0155513
1129	2.8497553
1130	2.8041387
1131	2.7008574
1132	2.6383297
1133	2.6395345
1134	2.5182965
1135	2.478963
1136	2.2943661
1137	2.2706106
1138	2.2446537
1139	2.1823325
1140	2.061306
1141	1.9403052
1142	1.921113
1143	1.8806036
1144	1.841358
1145	1.8002853
1146	1.796542
1147	1.7822045
1148	1.7272505
1149	1.6915263
1150	1.7044201
1151	1.696444
1152	1.674659
1153	1.6621147
1154	1.6589952
1155	1.6420441
1156	1.6179373
1157	1.5536355
1158	1.5232552
1159	1.4927796
1160	1.4799575
1161	1.4815361
1162	1.4851424
1163	1.4829054
1164	1.452996
1165	1.4523896
1166	1.4651985
1167	1.4716655
1168	1.4867104
1169	1.5599276
1170	1.5527524
1171	1.5462643
1172	1.538746
1173	1.5402992
1174	1.5834831
1175	1.5882434
1176	1.7145959
1177	1.7277243
1178	1.8146151
1179	1.8444335
1180	1.900404
1181	1.9768499
1182	2.0287886
1183	2.1465588
1184	2.287283
1185	2.3015301
1186	2.4557264
1187	2.4951038
1188	2.6461773
1189	2.7594137
1190	2.8270433
1191	3.0888712
1192	3.132044
1193	3.2900746
1194	3.4399045
1195	3.5180366
1196	3.6373901
1197	3.682499
1198	3.643182
1199	3.7087173
1200	3.739172
1201	3.7205203
1202	3.6965208
1203	3.7766664
1204	3.7778068
1205	3.8631063
1206	3.7514472
1207	3.7415452
1208	3.6754894
1209	3.7285793
1210	3.7182767
1211	3.7232716
1212	3.7214556
1213	3.8486044
1214	3.8418112
1215	3.638594
1216	3.5693734
1217	3.5423076
1218	3.4553883
1219	3.33999
1220	3.3078814
1221	3.1818886
1222	3.208133
1223	3.1410077
1224	3.1358676
1225	3.1671307
1226	3.1349483
1227	3.1067398
1228	3.1624792
1229	3.2066112
1230	3.2139938
1231	3.2411907
1232	3.19884
1233	3.2425401
1234	3.2120533
1235	3.195969
1236	3.1843884
1237	3.1136546
1238	3.0452492
1239	3.0229728
1240	2.9588084
1241	2.8483357
1242	2.8469877
1243	2.7541986
1244	2.7371054
1245	2.6727316
1246	2.6288066
1247	2.5991237
1248	2.6041758
1249	2.5793583
1250	2.5229354
1251	2.5016654
1252	2.512083
1253	2.5788312
1254	2.5490897
1255	2.4776497
1256	2.479178
1257	2.507228
1258	2.6309307
1259	2.6821527
1260	2.8850408
1261	2.8807745
1262	2.8668776
1263	2.9402978
1264	2.9999084
1265	3.105381
1266	3.1601224
1267	3.126626
1268	3.3849976
1269	3.4520092
1270	3.503361
1271	3.517226
1272	3.646998
1273	3.9144497
1274	3.7971914
1275	3.9076536
1276	3.9104588
1277	4.131124
1278	4.2765875
1279	4.3793936
1280	3.0696082
1281	3.0505784
1282	3.1403325
1283	3.257106
1284	3.339346
1285	3.2294712
1286	3.1714258
1287	3.09033
1288	2.8859625
1289	2.8996956
1290	2.6514788
1291	2.5787764
1292	2.526026
1293	2.4032183
1294	2.3474467
1295	2.2281785
1296	2.1224492
1297	2.1141813
1298	2.1307492
1299	2.1284716
1300	1.974336
1301	1.9589845
1302	1.892306
1303	1.8412874
1304	1.8121991
1305	1.7940375
1306	1.7808312
1307	1.7028449
1308	1.6735362
1309	1.6706643
1310	1.690125
1311	1.6768434
1312	1.6748723
1313	1.651906
1314	1.6520184
1315	1.6343015
1316	1.5773754
1317	1.5628986
1318	1.488676
1319	1.4594982
1320	1.4549646
1321	1.4496244
1322	1.4908558
1323	1.4614949
1324	1.4560864
1325	1.4505475
1326	1.4460223
1327	1.4615154
1328	1.519461
1329	1.5301985
1330	1.5656353
1331	1.5777129
1332	1.6131287
1333	1.6012473
1334	1.6125786
1335	1.6337361
1336	1.6974151
1337	1.7524759
1338	1.776279
1339	1.8745636
1340	1.9986098
1341	2.0132127
1342	2.1624067
1343	2.1649137
1344	2.2797577
1345	2.4014907
1346	2.4306712
1347	2.6057367
1348	2.6810398
1349	2.736049
1350	2.8517704
1351	2.9092567
1352	3.1343358
1353	3.2889805
1354	3.3766599
1355	3.3731356
1356	3.4102483
1357	3.4337025
1358	3.4086678
1359	3.4186711
1360	3.4460542
1361	3.501073
1362	3.5005639
1363	3.5467732
1364	3.5533626
1365	3.5126188
1366	3.4724019
1367	3.452741
1368	3.4395301
1369	3.509533
1370	3.4422534
1371	3.4238157
1372	3.6005042
1373	3.563333
1374	3.4519
1375	3.4369233
1376	3.3122504
1377	3.2822952
1378	3.2145388
1379	3.19074
1380	3.1918929
1381	3.1781843
1382	3.1108923
1383	3.105864
1384	3.1469843
1385	3.113538
1386	3.1117551
1387	3.0714412
1388	3.0510387
1389	3.196229
