1	9.3
2	9.2
3	9.2
4	9
5	9
6	8.9
7	8.7
8	8.4
9	8.3
10	8.7
11	8.7
12	8.5
13	8.4
14	8.5
15	8.2
16	8.5
17	8.4
18	8.6
19	8.6
20	8.4
21	8.3
22	8.3
23	8.3
24	8.4
25	8.4
26	8.5
27	8.5
28	8.8
29	8.9
30	8.8
31	8.9
32	8.8
33	8.5
34	8.4
35	8.2
36	7.9
37	7.8
38	7.6
39	7.5
40	7.8
41	7.9
42	7.7
43	7.8
44	7.5
45	7.3
46	7.7
47	7.6
48	7.5
49	7.3
50	7.2
51	7.3
52	7.1
53	7
54	6.6
55	6.1
56	5.9
57	5.4
58	5.5
59	5.3
60	4.9
61	4.5
62	4.6
63	4.7
64	4.8
65	4.7
66	4.7
67	5.3
68	5.9
69	6.2
70	6.3
71	6.5
72	6.6
73	6.6
74	6.7
75	6.8
76	6.8
77	6.4
78	6.1
79	6
80	6
81	6
82	5.8
83	6.3
84	6.3
85	6.3
86	6.6
87	6.6
88	6.6
89	6.7
90	6.8
91	6.8
92	6.7
93	7
94	7.2
95	7.3
96	7.3
97	7.7
98	7.8
99	7.9
100	8
101	8.3
102	8.4
103	8.5
104	8.6
105	8.7
106	8.8
107	8.9
108	9.1
109	9.2
110	9.3
111	9.4
112	9.5
113	9.6
114	9.7
115	9.8
116	9.9
117	10
118	10.1
119	10.2
120	10.3
121	10.4
122	10.6
123	10.7
124	10.8
125	10.9
126	11
127	11.1
128	11.2
129	11.3
130	11.4
131	11.5
132	11.6
133	11.7
134	11.8
135	11.9
136	12.1
137	12.2
138	12.3
139	12.4
140	12.5
141	12.6
142	12.7
143	12.8
144	12.9
145	13
146	13.1
147	13.2
148	13.3
149	13.4
150	13.6
151	13.7
152	13.8
153	13.9
154	14
155	14.1
156	14.2
157	14.3
158	14.4
159	14.5
160	14.6
161	14.7
162	14.8
163	14.9
164	15.1
165	15.2
166	15.3
167	15.4
168	15.5
169	15.6
170	15.7
171	15.8
172	15.9
173	16
174	16.1
175	16.2
176	16.3
177	16.4
178	16.6
179	16.7
180	16.8
181	16.9
182	17
183	17.1
184	17.2
185	17.4
186	17.6
187	17.7
188	17.9
189	18.2
190	18.4
191	18.4
192	18.2
193	18.5
194	18.5
195	18.6
196	18.3
197	18.5
198	18.8
199	19
200	18.8
201	18.5
202	18.5
203	18.4
204	18.5
205	18.9
206	18.9
207	18.5
208	18.3
209	18.2
210	18.3
211	18.3
212	18.3
213	18.2
214	18.1
215	18
216	18
217	18
218	18.1
219	18.2
220	18.2
221	18.3
222	18.4
223	18.4
224	18.5
225	18.6
226	18.4
227	18.4
228	18.3
229	18.4
230	18.3
231	18.3
232	18.3
233	18.4
234	18.5
235	18.5
236	18.6
237	18.7
238	18.9
239	19
240	19.1
241	19.1
242	19
243	19.1
244	19
245	19.1
246	19
247	18.9
248	18.7
249	18.7
250	18.4
251	18.5
252	18.4
253	18.1
254	18
255	17.9
256	17.8
257	17.6
258	17.5
259	17.5
260	17.4
261	17.2
262	17.2
263	17.1
264	17.2
265	17.2
266	17.2
267	17.1
268	17.2
269	17.2
270	17.3
271	17.3
272	17.3
273	17.2
274	17.2
275	17
276	16.9
277	16.7
278	16.6
279	16.4
280	16.4
281	16.3
282	16.3
283	16.3
284	16.2
285	16.2
286	16.3
287	16.2
288	16.3
289	16.3
290	16.3
291	16.3
292	16.3
293	16.2
294	16
295	15.8
296	15.9
297	15.9
298	15.9
299	15.7
300	15.5
301	15.5
302	15.1
303	15
304	15
305	14.9
306	14.8
307	14.7
308	14.6
309	14.3
310	14
311	13.9
312	13.8
313	13.6
314	13.5
315	13.3
316	13
317	12.9
318	12.9
319	12.8
320	12.6
321	12.4
322	12.2
323	12
324	12.5
325	12.5
326	12.3
327	12.1
328	11.9
329	11.7
330	11.8
331	11.4
332	11.2
333	11
334	10.8
335	10.7
336	10.4
337	10.1
338	9.9
339	10.7
340	10.6
341	9.5
342	10.1
343	8.9
344	9.9
345	9.6
346	9.4
347	9.4
348	9.2
349	9.1
350	8.7
351	8.5
352	8.3
353	8.4
354	8.4
355	8.4
356	8.7
357	9.3
358	8.8
359	8.8
360	8.7
361	9.1
362	9
363	9.1
364	9.2
365	9.3
366	9.3
367	9.3
368	9.2
369	9.2
370	9
371	9
372	8.9
373	8.7
374	8.4
375	8.3
376	8.7
377	8.7
378	8.5
379	8.4
380	8.5
381	8.2
382	8.5
383	8.4
384	8.6
385	8.6
386	8.4
387	8.3
388	8.3
389	8.3
390	8.4
391	8.4
392	8.5
393	8.5
394	8.8
395	8.9
396	8.8
397	8.9
398	8.8
399	8.5
400	8.4
401	8.2
402	7.9
403	7.8
404	7.6
405	7.5
406	7.8
407	7.9
408	7.7
409	7.8
410	7.5
411	7.3
412	7.7
413	7.6
414	7.5
415	7.3
416	7.2
417	7.3
418	7.1
419	7
420	6.6
421	6.1
422	5.9
423	5.4
424	5.5
425	5.3
426	4.9
427	4.5
428	4.6
429	4.7
430	4.8
431	4.7
432	4.7
433	5.3
434	5.9
435	6.2
436	6.3
437	6.5
438	6.6
439	6.6
440	6.7
441	6.8
442	6.8
443	6.4
444	6.1
445	6
446	6
447	6
448	5.8
449	6.3
450	6.3
451	6.3
452	6.6
453	6.6
454	6.6
455	6.7
456	6.8
457	6.8
458	6.7
459	7
460	7.2
461	7.3
462	7.3
463	7.7
464	7.8
465	7.9
466	8
467	8.3
468	8.4
469	8.5
470	8.6
471	8.7
472	8.8
473	8.9
474	9.1
475	9.2
476	9.3
477	9.4
478	9.5
479	9.6
480	9.7
